objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
13 Clues,208766,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696532,5.92269,6.60806,1.8966,3365,1920,thing,13 Clues,2,6,30,30,30,2016,,,8+,No necessary in-game text,,3688018,,,,standalone,,,,,
15 Days,298619,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472353,5.6604,6.43977,1.8235,6461,1629,thing,15 Days,1,4,20,20,20,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
24/7: The Game,25182,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,102498179,5.58447,6.20901,1.8889,9188,314,thing,24/7: The Game,2,4,20,20,20,2006,,,8+,No necessary in-game text,,,,,,standalone,,,,,
61 Feuilles d'automne,375440,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103383268,5.59515,6.5193,1.5,8627,202,thing,61 Feuilles d'automne,1,10,20,20,20,2022,,,,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders,68448,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71306783,7.57466,7.68391,2.317,91,141499,thing,7 Wonders,2,7,30,30,30,2010,,,10+,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders (Second Edition),316377,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81698512,7.2691,7.86022,2.3142,243,12778,thing,7 Wonders (Second Edition),3,7,30,30,30,2020,,,10+,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders Duel,173346,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,74879762,7.97245,8.09684,2.2298,19,155809,thing,7 Wonders Duel,2,2,30,30,30,2015,,,10+,No necessary in-game text,,,,,,standalone,,,,,
7 Wonders Duel: Agora,309116,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696038,7.19442,8.08901,2.898,0,18040,thing,7 Wonders Duel: Agora,2,2,30,30,30,2020,,,12+,No necessary in-game text,,,,,,expansion,,,,,
7 Wonders: Architects,346703,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,88233156,6.73602,7.03947,1.3589,797,14099,thing,7 Wonders: Architects,2,7,25,25,25,2021,,,6+,No necessary in-game text,,,,,,standalone,,,,,
8 Masters' Revenge,147474,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307833,5.5634,6.17867,2.4,10616,210,thing,8 Masters' Revenge,1,4,45,45,15,2013,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Abalone,526,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,81696752,6.21452,6.47529,2.1564,1970,12597,thing,Abalone,2,2,30,30,30,1987,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Abandon All Artichokes,302260,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492374,6.27429,6.61516,1.2764,1762,8458,thing,Abandon All Artichokes,2,4,20,20,20,2020,,,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Abandon All Artichokes: Rhubarb Promo,312444,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,83492376,5.56897,6.6613,0,0,459,thing,Abandon All Artichokes: Rhubarb Promo,2,4,20,20,20,2020,,,,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,
Abyss,155987,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,79607081,7.06548,7.32929,2.3194,400,19024,thing,Abyss,2,4,60,60,30,2014,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Age of Civilization,264647,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,100750596,6.32002,7.05273,2.2771,1629,5499,thing,Age of Civilization,1,4,60,60,30,2019,,,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
Agricola,31260,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,83884146,7.75028,7.87723,3.6369,52,85373,thing,Agricola,1,5,150,150,30,2007,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Akropolis,357563,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104865271,6.98855,7.50086,1.7963,478,9526,thing,Akropolis,1,4,30,30,20,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Alhambra,6249,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,78619794,6.90906,7.03231,2.1009,563,41951,thing,Alhambra,2,6,60,60,45,2003,,,8+,No necessary in-game text,,,,,,standalone,,,,,
All In: A Flip&Write Showdown,375567,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,105059698,5.53055,6.65645,2.5,14663,77,thing,All In: A Flip&Write Showdown,1,4,30,30,20,2023,,,,No necessary in-game text,,,,,,standalone,,,,,
Almadi,341233,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86003046,5.73583,6.72979,2.0769,5120,453,thing,Almadi,2,5,45,45,30,2021,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Alveole,3406,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,71333171,5.8285,7.1305,2.72,4076,433,thing,Lines of Action,2,2,20,20,20,1969,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Amerigo,137408,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,99889605,6.94848,7.44116,2.9737,516,7795,thing,Amerigo,2,4,90,90,90,2013,,,10+,No necessary in-game text,,,,,,standalone,,,,,
Amyitis,29934,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307343,6.34486,6.906,3.2174,1558,3815,thing,Amyitis,2,4,120,120,60,2007,,,12+,No necessary in-game text,,,,,,standalone,,,,,
Anachrony,185343,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103838183,7.75804,8.07777,4.013,49,23245,thing,Anachrony,1,4,120,120,30,2017,,,14+,No necessary in-game text,,,,,,standalone,,,,,
Apocalypse au Zoo de Carson City,234834,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,71307841,5.51648,5.75925,1.1111,17856,291,thing,Apocalypse au Zoo de Carson City,2,4,15,15,10,2017,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Applejack,367662,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103383210,5.9712,6.81103,1.9268,3040,1166,thing,Applejack,1,4,60,60,30,2022,,,8+,No necessary in-game text,,,,,,standalone,,,,,
Architects of the West Kingdom,236457,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,103867519,7.53969,7.73507,2.7515,97,39536,thing,Architects of the West Kingdom,1,5,80,80,60,2018,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Arctic Scavengers: Base Game+HQ+Recon,174226,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,91482463,6.46729,7.19751,2.25,0,5792,thing,Arctic Scavengers: Base Game+HQ+Recon,1,5,60,60,45,2015,,,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
Ark Nova,342942,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,104865358,8.3334,8.53651,3.7556,4,62078,thing,Ark Nova,1,4,150,150,90,2021,,,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
Art Decko,260316,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,86472340,5.84974,6.9088,2.2632,3904,718,thing,Art Decko,2,4,60,60,45,2019,,,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
